ArraySize,Series,Attempt,Time,Passes,Swaps
4000,1,6,0.044775,1964,3912015
4000,1,7,0.046098,2050,3999445
4000,1,8,0.04684,1970,3919660
4000,1,9,0.046607,1992,3958857
4000,1,10,0.046805,2032,4014337
4000,1,11,0.047682,2038,4042012
4000,1,12,0.045731,1996,3974425
4000,1,13,0.048734,2018,4039132
4000,1,14,0.046665,1956,3955437
4000,1,15,0.046446,2026,3981731
4000,1,16,0.048172,1986,3972311
4000,1,17,0.045935,2072,4032997
4000,1,18,0.046708,2040,4026250
4000,1,19,0.044632,1960,3922769
4000,1,20,0.045678,2032,4057737
4000,2,1,0.045258,1968,3956396
4000,2,2,0.045884,1964,3932916
4000,2,3,0.046438,2038,4094766
4000,2,4,0.04711,2054,4018263
4000,2,5,0.04594,2016,4005103
4000,2,6,0.046021,2032,4031733
4000,2,7,0.044385,1962,3894542
4000,2,8,0.045732,2006,3976794
4000,2,9,0.044907,1966,3941324
4000,2,10,0.049312,2058,4100694
4000,2,11,0.04709,2048,4021190
4000,2,12,0.045808,1990,3916983
4000,2,13,0.04958,2002,3996200
4000,2,14,0.046326,1982,3968406
4000,2,15,0.045625,2004,4004356
4000,2,16,0.045967,2040,4051356
4000,2,17,0.046436,2030,4004042
4000,2,18,0.04698,2024,4038587
4000,2,19,0.045518,2014,3992704
4000,2,20,0.046405,1992,3983949
4000,3,1,0.048715,2054,4059300
4000,3,2,0.046157,2034,4021844
4000,3,3,0.045641,2012,4028800
4000,3,4,0.045844,2040,4068183
4000,3,5,0.04891,2010,4039646
4000,3,6,0.045342,1994,4021966
4000,3,7,0.04498,1976,3942144
4000,3,8,0.045817,1982,3978500
4000,3,9,0.045995,1992,3962218
4000,3,10,0.048129,2036,4025362
4000,3,11,0.045687,1978,4020922
4000,3,12,0.045449,1978,3968618
4000,3,13,0.046799,1992,3951134
4000,3,14,0.046495,1998,3979941
4000,3,15,0.046516,1978,3957963
4000,3,16,0.045993,1984,3939628
4000,3,17,0.046987,2050,3997898
4000,3,18,0.047006,1994,3947181
4000,3,19,0.046564,1996,3947462
4000,3,20,0.047107,2006,3996034
4000,4,1,0.046422,1992,3957079
4000,4,2,0.046805,2028,4041763
4000,4,3,0.046308,2038,4016926
4000,4,4,0.049975,2026,4041008
4000,4,5,0.047287,2020,4012351
4000,4,6,0.047192,2000,3955929
4000,4,7,0.046562,1996,3940513
4000,4,8,0.049196,2042,4076100
4000,4,9,0.046955,1990,3972364
4000,4,10,0.04812,2066,4033836
4000,4,11,0.053419,1976,4001130
4000,4,12,0.046221,2080,4049478
4000,4,13,0.046519,1984,4025338
4000,4,14,0.045246,1952,3959265
4000,4,15,0.045878,2034,4027132
4000,4,16,0.045808,2008,3976654
4000,4,17,0.045319,1966,3909922
4000,4,18,0.045064,1974,3945711
4000,4,19,0.046571,2000,3994153
4000,4,20,0.045945,1984,3946768
4000,5,1,0.046695,1970,3968066
4000,5,2,0.04603,2028,4001886
4000,5,3,0.044828,1968,3895932
4000,5,4,0.045536,1974,3988016
4000,5,5,0.047348,2094,4080862
4000,5,6,0.046448,2036,3989581
4000,5,7,0.046819,1960,3979819
4000,5,8,0.04516,1942,3942644
4000,5,9,0.04774,2058,4034559
4000,5,10,0.047847,1946,3992974
4000,5,11,0.046127,2022,4022792
4000,5,12,0.044836,1990,3925584
4000,5,13,0.048217,2068,4055692
4000,5,14,0.046596,2012,4007323
4000,5,15,0.046427,2020,4035093
4000,5,16,0.046612,2064,4046421
4000,5,17,0.045754,2036,4071823
4000,5,18,0.045939,2068,4032762
4000,5,19,0.046796,2026,4040739
4000,5,20,0.047369,2072,4064654
4000,6,1,0.047453,2048,4012000
4000,6,2,0.046207,2022,4056644
4000,6,3,0.046535,1970,3911132
4000,6,4,0.045836,1992,3960807
4000,6,5,0.046266,2038,4051735
4000,6,6,0.047092,2026,4054731
4000,6,7,0.046361,2056,4042535
4000,6,8,0.045042,1968,3957617
4000,6,9,0.046153,1976,3932516
4000,6,10,0.047906,2046,4014854
4000,6,11,0.046796,1958,3900820
4000,6,12,0.047488,2006,4007624
4000,6,13,0.052525,1996,4001042
4000,6,14,0.047151,2068,4066563
4000,6,15,0.046143,2000,3917875
4000,6,16,0.045952,1982,3964883
4000,6,17,0.045194,1990,3983496
4000,6,18,0.045937,2026,4028942
4000,6,19,0.045721,2040,4011140
4000,6,20,0.047224,2038,4013374
4000,7,1,0.046556,2002,3959231
4000,7,2,0.047876,2072,4036045
4000,7,3,0.050299,2054,4036473
4000,7,4,0.046176,2012,3990820
4000,7,5,0.046521,2018,3990071
4000,7,6,0.046094,2024,4045582
4000,7,7,0.0469,1976,3931222
4000,7,8,0.04615,1974,4002193
4000,7,9,0.04553,2048,4008384
4000,7,10,0.046922,2032,4041809
4000,7,11,0.046784,2010,3985555
4000,7,12,0.047649,2032,4017839
4000,7,13,0.047253,2016,4053607
